id,restaurant_name,address,lat,lng,rating,closing_time,hours_of_operation,closing_hour,peak_surplus_day,peak_surplus_kg
sb-ChIJ2yH2PXlA6YAR,Buena Onda Empanadas | Restaurant • Catering • Events,"724 E Haley St, Santa Barbara, CA 93103, USA",34.4246505,-119.6866991,4.8,9:30 PM,Monday: Closed | Tuesday: 11:00 AM – 8:30 PM | Wednesday: 11:00 AM – 8:30 PM | Thursday: 11:00 AM – 8:30 PM | Friday: 11:00 AM – 9:30 PM | Saturday: 11:00 AM – 9:30 PM | Sunday: 11:00 AM – 4:00 PM,21.5,Sunday,29.47
sb-ChIJ43_NGmEV6YAR,Olio Bottega,"11 W Victoria St #18, Santa Barbara, CA 93101, USA",34.423814,-119.706045,4.7,4:00 PM,Monday: Closed | Tuesday: 10:00 AM – 4:00 PM | Wednesday: 10:00 AM – 4:00 PM | Thursday: 10:00 AM – 4:00 PM | Friday: 10:00 AM – 4:00 PM | Saturday: 10:00 AM – 4:00 PM | Sunday: 10:00 AM – 4:00 PM,16.0,Sunday,41.56
sb-ChIJ6ynEYXBA6YAR,Kyle's Kitchen,"5723 Calle Real, Goleta, CA 93117, USA",34.4408307,-119.8240057,4.5,9:00 PM,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 11:00 AM – 9:00 PM | Sunday: 11:00 AM – 9:00 PM,21.0,Sunday,30.83
sb-ChIJ5eEDsX0U6YAR,Satellite SB,"1117 State St, Santa Barbara, CA 93101, USA",34.4227568,-119.7038612,4.8,9:00 PM,Monday: 4:00 – 9:00 PM | Tuesday: 4:00 – 9:00 PM | Wednesday: Closed | Thursday: 4:00 – 9:00 PM | Friday: 12:00 – 9:00 PM | Saturday: 12:00 – 9:00 PM | Sunday: 12:00 – 5:00 PM,21.0,Sunday,31.26
sb-ChIJ3chARmNA6YAR,Panda Express,"131 N Fairview Ave, Goleta, CA 93117, USA",34.441606,-119.8327436,3.8,11:00 PM,Monday: 9:00 AM – 11:00 PM | Tuesday: 9:00 AM – 11:00 PM | Wednesday: 9:00 AM – 11:00 PM | Thursday: 9:00 AM – 11:00 PM | Friday: 9:00 AM – 11:00 PM | Saturday: 9:00 AM – 11:00 PM | Sunday: 9:00 AM – 11:00 PM,23.0,Monday,26.62
sb-ChIJ4UslyIcT6YAR,Taquería Rincón Alteño,"115 E Haley St, Santa Barbara, CA 93101, USA",34.4184571,-119.6939731,4.4,3:00 PM,Monday: 7:30 AM – 3:00 PM | Tuesday: 7:30 AM – 3:00 PM | Wednesday: 7:30 AM – 3:00 PM | Thursday: 7:30 AM – 3:00 PM | Friday: 7:30 AM – 3:00 PM | Saturday: 7:30 AM – 3:00 PM | Sunday: 7:30 AM – 3:00 PM,15.0,Sunday,41.22
sb-ChIJB8pASX0U6YAR,Corazon Cocina,"38 W Victoria St Unit 122, Santa Barbara, CA 93101, USA",34.4234971,-119.7070101,4.5,9:00 PM,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 11:00 AM – 9:00 PM | Sunday: 11:00 AM – 9:00 PM,21.0,Sunday,30.83
sb-ChIJ-fd4CnIV6YAR,Gala Restaurant,"705 Anacapa St, Santa Barbara, CA 93101, USA",34.4198188,-119.6972773,4.5,9:00 PM,Monday: Closed | Tuesday: 4:00 – 9:00 PM | Wednesday: 4:00 – 9:00 PM | Thursday: 4:00 – 9:00 PM | Friday: 4:00 – 9:00 PM | Saturday: 4:00 – 9:00 PM | Sunday: Closed,21.0,Sunday,30.83
sb-ChIJ45D6QtwU6YAR,Renaud's Bakery,"3305 State St, Santa Barbara, CA 93105, USA",34.4393027,-119.7358953,4.4,7:00 PM,Monday: 7:00 AM – 6:00 PM | Tuesday: 7:00 AM – 6:00 PM | Wednesday: 7:00 AM – 6:00 PM | Thursday: 7:00 AM – 6:00 PM | Friday: 7:00 AM – 7:00 PM | Saturday: 7:00 AM – 7:00 PM | Sunday: 7:00 AM – 6:00 PM,19.0,Sunday,41.38
sb-ChIJ0WMny5wV6YAR,Paloma,"702 Anacapa St, Santa Barbara, CA 93101, USA",34.4200396,-119.6968561,4.6,2:00 PM,"Monday: Closed | Tuesday: Closed | Wednesday: 4:00 – 9:00 PM | Thursday: 4:00 – 9:00 PM | Friday: 10:30 AM – 2:00 PM, 4:00 – 10:00 PM | Saturday: 10:30 AM – 2:00 PM, 4:00 – 10:00 PM | Sunday: 10:30 AM – 2:00 PM, 4:00 – 9:00 PM",14.0,Sunday,41.65
sb-ChIJA-xZbHlA6YAR,Altamirano’s Mexican Grill,"5838 Hollister Ave, Goleta, CA 93117, USA",34.4360319,-119.8275429,4.3,11:00 PM,Monday: 10:00 AM – 11:00 PM | Tuesday: 10:00 AM – 11:00 PM | Wednesday: 10:00 AM – 11:00 PM | Thursday: 10:00 AM – 11:00 PM | Friday: 10:00 AM – 11:00 PM | Saturday: 9:00 AM – 11:00 PM | Sunday: 9:00 AM – 11:00 PM,23.0,Monday,26.32
sb-ChIJ7_ZrrzUT6YAR,The Anchor Rose,"113 Harbor Way Ste 180, Santa Barbara, CA 93109, USA",34.4039899,-119.6938017,4.0,10:00 PM,Monday: 11:30 AM – 9:00 PM | Tuesday: 11:30 AM – 9:00 PM | Wednesday: 11:30 AM – 9:00 PM | Thursday: 11:30 AM – 9:00 PM | Friday: 11:30 AM – 10:00 PM | Saturday: 11:00 AM – 10:00 PM | Sunday: 11:00 AM – 9:00 PM,22.0,Friday,27.51
sb-ChIJ3dEwW5YT6YAR,East Beach Tacos,"226 S Milpas St, Santa Barbara, CA 93103, USA",34.418827,-119.675354,4.7,7:00 PM,Monday: 11:00 AM – 7:00 PM | Tuesday: 11:00 AM – 7:00 PM | Wednesday: 11:00 AM – 7:00 PM | Thursday: 11:00 AM – 7:00 PM | Friday: 11:00 AM – 7:00 PM | Saturday: 11:00 AM – 7:00 PM | Sunday: 11:00 AM – 6:00 PM,19.0,Sunday,41.72
sb-ChIJAW42yL8_6YAR,Zocalo,"901 Embarcadero del Mar #101, Isla Vista, CA 93117, USA",34.4129331,-119.8573066,4.8,10:00 PM,Monday: 9:30 AM – 9:30 PM | Tuesday: 9:30 AM – 9:30 PM | Wednesday: 9:30 AM – 9:30 PM | Thursday: 9:30 AM – 9:30 PM | Friday: 9:00 AM – 10:00 PM | Saturday: 9:00 AM – 10:00 PM | Sunday: 9:00 AM – 9:30 PM,22.0,Friday,28.09
sb-ChIJ17PFLisT6YAR,Validation Ale,"102 E Yanonali St, Santa Barbara, CA 93101, USA",34.4150493,-119.6900731,4.7,10:00 PM,Monday: 11:30 AM – 8:30 PM | Tuesday: 11:30 AM – 8:30 PM | Wednesday: 11:30 AM – 8:30 PM | Thursday: 11:30 AM – 10:00 PM | Friday: 11:30 AM – 10:00 PM | Saturday: 10:00 AM – 10:00 PM | Sunday: 10:00 AM – 8:30 PM,22.0,Friday,27.96
sb-ChIJC-jnx-kU6YAR,Los Agaves,"2911 De La Vina St, Santa Barbara, CA 93105, USA",34.4374619,-119.7273729,4.6,9:00 PM,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 11:00 AM – 9:00 PM | Sunday: 11:00 AM – 9:00 PM,21.0,Sunday,30.95
sb-ChIJ99Mlf0RB6YAR,Dune Coffee Roasters,"5915 Calle Real Suite A, Goleta, CA 93117, USA",34.4413354,-119.8283808,4.4,4:00 PM,Monday: 7:00 AM – 4:00 PM | Tuesday: 7:00 AM – 4:00 PM | Wednesday: 7:00 AM – 4:00 PM | Thursday: 7:00 AM – 4:00 PM | Friday: 7:00 AM – 4:00 PM | Saturday: 7:00 AM – 4:00 PM | Sunday: 7:00 AM – 4:00 PM,16.0,Sunday,41.17
sb-ChIJAcrgO9oV6YAR,ALESSIA Patisserie and Cafe,"134 E Canon Perdido St, Santa Barbara, CA 93101, USA",34.4224079,-119.6983611,4.6,4:00 PM,Monday: Closed | Tuesday: 7:00 AM – 4:00 PM | Wednesday: 7:00 AM – 4:00 PM | Thursday: 7:00 AM – 4:00 PM | Friday: 7:00 AM – 4:00 PM | Saturday: 8:00 AM – 4:00 PM | Sunday: 8:00 AM – 4:00 PM,16.0,Sunday,41.43
sb-ChIJ9-U1TnlA6YAR,Natural Cafe,"6990 Market Pl Dr, Goleta, CA 93117, USA",34.4294544,-119.8712772,4.5,9:00 PM,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 11:00 AM – 9:00 PM | Sunday: 11:00 AM – 9:00 PM,21.0,Sunday,30.83
sb-ChIJ44HSPokT6YAR,Loquita Santa Barbara,"202 State St, Santa Barbara, CA 93101, USA",34.4141989,-119.6916317,4.6,10:00 PM,Monday: 5:00 – 9:00 PM | Tuesday: 5:00 – 9:00 PM | Wednesday: 5:00 – 9:00 PM | Thursday: 5:00 – 9:00 PM | Friday: 5:00 – 10:00 PM | Saturday: 4:00 – 10:00 PM | Sunday: 5:00 – 9:00 PM,22.0,Friday,27.85
sb-ChIJ9_Rq-3IV6YAR,Fatte's Pizza Santa Barbara,"2840 De La Vina St B, Santa Barbara, CA 93105, USA",34.4372638,-119.7263598,4.5,10:00 PM,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 10:00 PM | Saturday: 11:00 AM – 10:00 PM | Sunday: 11:00 AM – 9:00 PM,22.0,Friday,27.76
sb-ChIJ3RCBXzcV6YAR,El Rincon Bohemio,"4141 State St F1, Santa Barbara, CA 93110, USA",34.439412,-119.7616719,4.4,9:00 PM,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 8:00 AM – 9:00 PM | Sunday: 8:00 AM – 9:00 PM,21.0,Sunday,30.71
sb-ChIJ4_6a-RBB6YAR,Santa Barbara Sunshine Cafe,"5711 Calle Real, Goleta, CA 93117, USA",34.440818,-119.823762,4.5,2:00 PM,Monday: 7:00 AM – 2:00 PM | Tuesday: 7:00 AM – 2:00 PM | Wednesday: 7:00 AM – 2:00 PM | Thursday: 7:00 AM – 2:00 PM | Friday: 7:00 AM – 2:00 PM | Saturday: 7:00 AM – 2:00 PM | Sunday: 7:00 AM – 2:00 PM,14.0,Sunday,41.52
sb-ChIJ9Xw3U3YT6YAR,Hook & Press Donuts,"15 E Figueroa St, Santa Barbara, CA 93101, USA",34.4229863,-119.7027561,4.5,4:00 PM,Monday: Closed | Tuesday: 8:00 AM – 4:00 PM | Wednesday: 8:00 AM – 4:00 PM | Thursday: 8:00 AM – 4:00 PM | Friday: 8:00 AM – 4:00 PM | Saturday: 8:00 AM – 4:00 PM | Sunday: 8:00 AM – 4:00 PM,16.0,Sunday,41.3
sb-ChIJ9WJmOIgT6YAR,D'Angelo Bread,"25 W Gutierrez St, Santa Barbara, CA 93101, USA",34.4151111,-119.6948306,4.4,2:00 PM,Monday: 7:00 AM – 2:00 PM | Tuesday: 7:00 AM – 2:00 PM | Wednesday: 7:00 AM – 2:00 PM | Thursday: 7:00 AM – 2:00 PM | Friday: 7:00 AM – 2:00 PM | Saturday: 7:00 AM – 2:00 PM | Sunday: 7:00 AM – 2:00 PM,14.0,Sunday,41.39
sb-ChIJ4X3-MGg_6YAR,Sushiya Express,"955 Embarcadero del Mar, Goleta, CA 93117, USA",34.4119499,-119.8574346,4.1,9:30 PM,Monday: Closed | Tuesday: 10:30 AM – 9:30 PM | Wednesday: 10:30 AM – 9:30 PM | Thursday: 10:30 AM – 9:30 PM | Friday: 10:30 AM – 9:30 PM | Saturday: 10:30 AM – 9:30 PM | Sunday: 10:30 AM – 9:30 PM,21.5,Friday,28.59
sb-ChIJ27eqtK9A6YAR,Blenders In The Grass - Camino Real Marketplace,"7014 Market Pl Dr, Goleta, CA 93117, USA",34.4294695,-119.8720428,4.2,10:00 PM,Monday: 7:00 AM – 10:00 PM | Tuesday: 7:00 AM – 10:00 PM | Wednesday: 7:00 AM – 10:00 PM | Thursday: 7:00 AM – 10:00 PM | Friday: 7:00 AM – 10:00 PM | Saturday: 8:00 AM – 10:00 PM | Sunday: 8:00 AM – 10:00 PM,22.0,Friday,27.56
sb-ChIJ3wGezngU6YAR,Super Cucas,"626 W Micheltorena St, Santa Barbara, CA 93101, USA",34.4193211,-119.7158949,4.5,10:00 PM,Monday: 6:00 AM – 10:00 PM | Tuesday: 6:00 AM – 10:00 PM | Wednesday: 6:00 AM – 10:00 PM | Thursday: 6:00 AM – 10:00 PM | Friday: 6:00 AM – 10:00 PM | Saturday: 6:00 AM – 10:00 PM | Sunday: 6:00 AM – 10:00 PM,22.0,Friday,27.76
sb-ChIJ083pWX0U6YAR,Ca’Dario Pizzeria Veloce,"38 W Victoria St Unit 122, Santa Barbara, CA 93101, USA",34.4235939,-119.7068633,3.8,8:30 PM,"Monday: 12:00 – 8:00 PM | Tuesday: 12:00 – 8:00 PM | Wednesday: 12:00 – 8:00 PM | Thursday: 12:00 – 8:00 PM | Friday: 12:00 – 8:30 PM | Saturday: 12:00 – 8:30 PM | Sunday: 12:00 – 3:00 PM, 3:30 – 9:00 PM",20.5,Sunday,32.13
sb-ChIJ3ZVvSa5A6YAR,Anna's Marketplace Bakery,"7018 Market Pl Dr, Goleta, CA 93117, USA",34.4294598,-119.8721309,4.5,5:30 PM,Monday: 6:00 AM – 5:30 PM | Tuesday: 6:00 AM – 5:30 PM | Wednesday: 6:00 AM – 5:30 PM | Thursday: 6:00 AM – 5:30 PM | Friday: 6:00 AM – 5:30 PM | Saturday: 6:00 AM – 5:30 PM | Sunday: 6:00 AM – 4:30 PM,17.5,Sunday,41.36
sb-ChIJ3Z0Dyp8T6YAR,Rodeo Room,"231 W Montecito St, Santa Barbara, CA 93101, USA",34.4118576,-119.6959609,4.8,1:00 AM,Monday: 5:00 PM – 12:00 AM | Tuesday: 5:00 PM – 12:00 AM | Wednesday: 5:00 PM – 12:00 AM | Thursday: 5:00 PM – 12:00 AM | Friday: 5:00 PM – 1:00 AM | Saturday: 5:00 PM – 1:00 AM | Sunday: 5:00 PM – 12:00 AM,1.0,Sunday,46.29
sb-ChIJ7xxO_5YT6YAR,Habit Burger & Grill,"216 S Milpas St, Santa Barbara, CA 93103, USA",34.4191551,-119.6759278,4.5,9:00 PM,Monday: 10:00 AM – 9:00 PM | Tuesday: 10:00 AM – 9:00 PM | Wednesday: 10:00 AM – 9:00 PM | Thursday: 10:00 AM – 9:00 PM | Friday: 10:00 AM – 9:00 PM | Saturday: 10:00 AM – 9:00 PM | Sunday: 10:00 AM – 9:00 PM,21.0,Sunday,30.83
sb-ChIJ2Ui3MNBB6YAR,Wingstop,"129 N Fairview Ave, Goleta, CA 93117, USA",34.4415295,-119.8328475,4.0,12:00 AM,Monday: 10:30 AM – 12:00 AM | Tuesday: 10:30 AM – 12:00 AM | Wednesday: 10:30 AM – 12:00 AM | Thursday: 10:30 AM – 12:00 AM | Friday: 10:30 AM – 12:00 AM | Saturday: 10:30 AM – 12:00 AM | Sunday: 10:30 AM – 12:00 AM,0.0,Sunday,45.38
sb-ChIJCRO_QHlA6YAR,Noodle City,"5869 Hollister Ave, Goleta, CA 93117, USA",34.4357933,-119.8282413,4.3,9:00 PM,Monday: 10:00 AM – 9:00 PM | Tuesday: 10:00 AM – 9:00 PM | Wednesday: 10:00 AM – 9:00 PM | Thursday: 10:00 AM – 9:00 PM | Friday: 10:00 AM – 9:00 PM | Saturday: 10:00 AM – 9:00 PM | Sunday: Closed,21.0,Sunday,30.59
sb-ChIJA5K7_Jk_6YAR,Rusty's Pizza Parlor,"6583 Pardall Rd, Goleta, CA 93117, USA",34.4129496,-119.857795,4.0,12:00 AM,Monday: 11:00 AM – 11:00 PM | Tuesday: 11:00 AM – 11:00 PM | Wednesday: 11:00 AM – 11:00 PM | Thursday: 11:00 AM – 11:00 PM | Friday: 11:00 AM – 12:00 AM | Saturday: 11:00 AM – 12:00 AM | Sunday: 11:00 AM – 11:00 PM,0.0,Sunday,45.38
sb-ChIJB-3vXGg_6YAR,I.V. Deli Mart,"6553 Pardall Rd, Isla Vista, CA 93117, USA",34.4129186,-119.8564074,4.0,3:00 AM,Monday: 8:00 AM – 1:00 AM | Tuesday: 8:00 AM – 1:00 AM | Wednesday: 8:00 AM – 1:00 AM | Thursday: 8:00 AM – 1:00 AM | Friday: 8:00 AM – 3:00 AM | Saturday: 8:00 AM – 3:00 AM | Sunday: 8:00 AM – 1:00 AM,3.0,Sunday,44.39
sb-ChIJ4dBCkk0_6YAR,A Slice of Woodstock's,"University of California, Santa Barbara, Building 501, Santa Barbara, CA 93106, USA",34.414165,-119.8464652,3.8,Unknown,Monday: 9:00 AM – 7:00 PM | Tuesday: 9:00 AM – 7:00 PM | Wednesday: 9:00 AM – 7:00 PM | Thursday: 9:00 AM – 7:00 PM | Friday: 9:00 AM – 5:00 PM | Saturday: Closed | Sunday: Closed,21.0,Sunday,30.05
sb-ChIJ5UqHYAAV6YAR,Best BBQ Santa Barbara,"716 State St, Santa Barbara, CA 93101, USA",34.4191909,-119.6983867,3.9,8:00 PM,Monday: 10:30 AM – 8:00 PM | Tuesday: 10:30 AM – 8:00 PM | Wednesday: 10:30 AM – 8:00 PM | Thursday: 10:30 AM – 8:00 PM | Friday: 10:30 AM – 8:00 PM | Saturday: 10:30 AM – 8:00 PM | Sunday: 10:30 AM – 8:00 PM,20.0,Sunday,34.66
sb-ChIJ80oiHhAV6YAR,South Coast Deli - San Roque,"3534 State St, Santa Barbara, CA 93105, USA",34.4406914,-119.7396858,4.5,6:00 PM,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 6:00 PM | Saturday: 9:00 AM – 6:00 PM | Sunday: Closed,18.0,Sunday,41.4
sb-ChIJAc31ugUV6YAR,CAJÉ Coffee Roasters,"1316 State St, Santa Barbara, CA 93101, USA",34.4248531,-119.7060883,4.6,1:00 PM,Monday: 7:00 AM – 1:00 PM | Tuesday: 7:00 AM – 1:00 PM | Wednesday: 7:00 AM – 1:00 PM | Thursday: 7:00 AM – 1:00 PM | Friday: 7:00 AM – 1:00 PM | Saturday: 7:00 AM – 1:00 PM | Sunday: 7:00 AM – 1:00 PM,13.0,Sunday,41.94
sb-ChIJ71DwGCcV6YAR,WFM Coffee & Juice Bar,"3761 State St, Santa Barbara, CA 93105, USA",34.4393044,-119.745409,3.9,8:00 PM,Monday: 7:00 AM – 8:00 PM | Tuesday: 7:00 AM – 8:00 PM | Wednesday: 7:00 AM – 8:00 PM | Thursday: 7:00 AM – 8:00 PM | Friday: 7:00 AM – 8:00 PM | Saturday: 7:00 AM – 8:00 PM | Sunday: 7:00 AM – 8:00 PM,20.0,Sunday,34.66
sb-ChIJ0eUdK7IV6YAR,Wingstop,"3849 State St Suite 163, Santa Barbara, CA 93105, USA",34.4393668,-119.749184,3.7,1:00 AM,Monday: 10:00 AM – 1:00 AM | Tuesday: 10:00 AM – 1:00 AM | Wednesday: 10:00 AM – 1:00 AM | Thursday: 10:00 AM – 1:00 AM | Friday: 10:00 AM – 1:00 AM | Saturday: 10:00 AM – 1:00 AM | Sunday: 10:00 AM – 1:00 AM,1.0,Sunday,44.62
sb-ChIJ40IlzYgT6YAR,Shalhoob's Funk Zone Patio,"220 Gray Ave, Santa Barbara, CA 93101, USA",34.41626,-119.6905854,4.5,9:00 PM,Monday: 11:00 AM – 8:00 PM | Tuesday: 11:00 AM – 8:00 PM | Wednesday: 11:00 AM – 8:00 PM | Thursday: 11:00 AM – 8:00 PM | Friday: 11:00 AM – 9:00 PM | Saturday: 11:00 AM – 9:00 PM | Sunday: 11:00 AM – 7:30 PM,21.0,Sunday,30.83
sb-ChIJ0eiPHqVA6YAR,Saigon Noodle House,"6831 Hollister Ave L, Goleta, CA 93117, USA",34.4293356,-119.8670568,4.2,9:00 PM,Monday: 10:00 AM – 9:00 PM | Tuesday: Closed | Wednesday: 10:00 AM – 9:00 PM | Thursday: 10:00 AM – 9:00 PM | Friday: 10:00 AM – 9:00 PM | Saturday: 10:00 AM – 9:00 PM | Sunday: 10:00 AM – 9:00 PM,21.0,Sunday,30.48
sb-ChIJ5e-dFn8U6YAR,Panino Downtown Santa Barbara,"834 Santa Barbara St, Santa Barbara, CA 93101, USA",34.4227017,-119.6979733,4.5,4:00 PM,Monday: 10:30 AM – 4:00 PM | Tuesday: 10:30 AM – 4:00 PM | Wednesday: 10:30 AM – 4:00 PM | Thursday: 10:30 AM – 4:00 PM | Friday: 10:30 AM – 4:00 PM | Saturday: 10:30 AM – 4:00 PM | Sunday: 11:00 AM – 3:00 PM,16.0,Sunday,41.3
sb-ChIJ7wjTt30U6YAR,Petit Valentien,"1114 State St #14, Santa Barbara, CA 93101, USA",34.42293009999999,-119.7030273,4.6,2:30 PM,"Monday: Closed | Tuesday: 11:30 AM – 2:00 PM, 5:30 – 8:00 PM | Wednesday: 11:30 AM – 2:00 PM, 5:30 – 8:00 PM | Thursday: 11:30 AM – 2:00 PM, 5:30 – 8:00 PM | Friday: 11:30 AM – 2:00 PM, 5:30 – 8:30 PM | Saturday: 11:30 AM – 2:30 PM, 5:30 – 8:30 PM | Sunday: 11:30 AM – 2:30 PM, 5:00 – 7:00 PM",14.5,Sunday,41.55
